otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze 
"Sicilian Defense, Accelerated Dragon, Maroczy Bind, Breyer Variation",black,3303,B39,2022-09-19,2180,2233,22.3,32.9,44.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7 6.Be3 Nf6 7.Nc3 Ng4
"Sicilian Defense, Accelerated Dragon, Maroczy Bind, General",white,5869,B36,2022-10-17,2310,2281,37.9,38.0,24.1,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4
"Sicilian Defense, Accelerated Dragon, Maroczy Bind, Gurgenidze Variation",black,2628,B36,2022-10-17,2243,2253,20.2,43.0,36.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Nf6 6.Nc3 Nxd4 7.Qxd4 d6
"Sicilian Defense, Accelerated Dragon, Modern  Bc4 Variation",white,11630,B35,2022-10-17,2228,2200,39.4,28.7,31.9,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3 Bg7 6.Be3 Nf6 7.Bc4
"Sicilian Defense, Accelerated Dragon, Modern Variation",white,7629,B34,2022-10-18,2091,2079,35.8,24.6,39.6,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3
"Sicilian Defense, Alapin Variation, Barmen Defense",black,17710,B22,2022-10-19,2174,2205,32.7,33.5,33.8,1.e4 c5 2.c3 d5 3.exd5 Qxd5
"Sicilian Defense, Alapin Variation, Barmen Defense, Central Exchange",black,794,B22,2022-09-17,1913,1968,25.4,18.9,55.7,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 cxd4 5.cxd4 Nc6 6.Nf3 Bg4
"Sicilian Defense, Alapin Variation, Barmen Defense, Milner-Barry Attack",white,116,B22,2022-04-05,2373,2306,45.7,39.7,14.7,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 cxd4 5.cxd4 Nc6 6.Nf3 e5 7.Nc3 Bb4 8.Be2
"Sicilian Defense, Alapin Variation, Barmen Defense, Modern Line",black,4353,B22,2022-09-07,2171,2206,29.0,36.3,34.6,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 Nf6 5.Nf3 Bg4
"Sicilian Defense, Alapin Variation, General",white,24217,B22,2022-10-14,2195,2157,37.6,28.2,34.2,1.e4 c5 2.c3
"Sicilian Defense, Alapin Variation, Sherzer Variation",black,231,B22,2022-07-02,1880,1913,27.7,16.0,56.3,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 e6 5.Nf3 Nc6
"Sicilian Defense, Alapin Variation, Smith-Morra Declined",black,18144,B22,2022-10-16,2208,2238,39.4,30.4,30.2,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 cxd4
"Sicilian Defense, Alapin Variation, Stoltz Attack",white,1443,B22,2022-09-24,2340,2323,38.0,32.2,29.8,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 Nc6 5.Bc4 Nb6 6.Bb3
"Sicilian Defense, Alapin Variation, Stoltz Attack, Ivanchuk Line",black,374,B22,2022-01-04,2358,2377,38.0,26.7,35.3,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 Nc6 5.Bc4 Nb6 6.Bb3 c4 7.Bc2 Qc7 8.Qe2 g5
"Sicilian Defense, Boleslavsky Variation",white,2705,B59,2022-10-16,2145,2142,22.1,29.1,48.9,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nb3
"Sicilian Defense, Boleslavsky Variation, General Variation",black,2052,B58,2022-09-26,2305,2335,34.5,33.0,32.5,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5
"Sicilian Defense, Boleslavsky Variation, Louma Variation",white,139,B58,2022-06-05,2201,2244,23.0,29.5,47.5,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nxc6
"Sicilian Defense, Bowdler Attack",white,2473,B20,2022-10-17,1690,1696,23.0,14.0,63.0,1.e4 c5 2.Bc4
"Sicilian Defense, Canal Attack",white,17527,B51,2022-10-16,2311,2286,32.7,30.7,36.6,1.e4 c5 2.Nf3 d6 3.Bb5+
"Sicilian Defense, Canal Attack, Haag Gambit",white,805,B51,2022-08-28,2325,2312,40.6,35.5,23.9,1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7 4.Bxd7+ Qxd7 5.O-O Nc6 6.c3 Nf6 7.d4
"Sicilian Defense, Canal Attack, Main Line",black,17297,B52,2022-10-18,2210,2224,27.3,37.2,35.6,1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7
"Sicilian Defense, Canal Attack, Moscow Gambit",white,363,B51,2022-06-19,2405,2342,33.1,31.4,35.5,1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.c3 a6 6.Bxc6 Bxc6 7.Re1 Nf6 8.d4 Bxe4 9.Bg5
"Sicilian Defense, Chameleon",white,3006,B20,2022-09-15,2273,2250,42.5,25.9,31.5,1.e4 c5 2.Ne2
"Sicilian Defense, Chekhover Variation",white,12193,B53,2022-10-20,2252,2227,41.3,26.6,32.1,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4
"Sicilian Defense, Chekhover Variation, Zaitsev Defense",black,190,B53,2022-03-22,2236,2286,30.5,31.1,38.4,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4 Nc6 5.Bb5 Qd7
"Sicilian Defense, Classical Variation",white,1045,B58,2022-08-17,2271,2255,34.7,29.7,35.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2
"Sicilian Defense, Classical Variation, Anti-Sozin Variation",black,4205,B57,2022-10-09,2334,2354,38.5,28.8,32.7,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bc4 Qb6
"Sicilian Defense, Classical Variation, Dragon Transfer",black,108,B58,2020-10-27,2314,2285,44.4,34.3,21.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 Nxd4 7.Qxd4 g6
"Sicilian Defense, Classical Variation, Fianchetto Variation",white,1794,B58,2022-09-18,2338,2313,32.9,32.8,34.2,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.g3
"Sicilian Defense, Classical Variation, General",black,9680,B56,2022-10-15,2206,2237,40.7,26.2,33.1,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6
"Sicilian Defense, Closed Sicilian, Anti-Sveshnikov Variation, Kharlov-Kramnik Line",black,254,B30,2022-10-09,2368,2398,19.3,42.9,37.8,1.e4 c5 2.Nc3 Nc6 3.Nf3 e5 4.Bc4 d6 5.d3 Be7 6.Nd2 Bg5
"Sicilian Defense, Closed Variation",white,4677,B25,2022-10-11,2179,2160,29.3,29.3,41.4,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4
"Sicilian Defense, Closed Variation",white,31747,B23,2022-10-17,2121,2096,38.4,22.3,39.3,1.e4 c5 2.Nc3
"Sicilian Defense, Closed Variation",white,7059,B26,2022-10-18,2171,2151,31.5,28.5,40.0,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Be3
"Sicilian Defense, Closed Variation, Botvinnik Defense I",black,455,B25,2022-04-16,2207,2230,41.8,28.6,29.7,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4 e5
"Sicilian Defense, Closed Variation, Botvinnik Defense I, Edge Variation",black,292,B25,2022-08-19,2199,2283,32.5,22.9,44.5,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4 e5 7.Nh3 Nge7
"Sicilian Defense, Closed Variation, Botvinnik Defense II",black,420,B25,2022-09-02,2235,2232,44.3,33.1,22.6,1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Nge2 e5
"Sicilian Defense, Closed Variation, Chameleon Variation",white,2191,B23,2022-08-20,2290,2272,38.2,29.6,32.2,1.e4 c5 2.Nc3 Nc6 3.Nge2
"Sicilian Defense, Closed Variation, Fianchetto Variation",white,11613,B24,2022-10-16,2119,2094,33.6,25.5,40.9,1.e4 c5 2.Nc3 Nc6 3.g3
"Sicilian Defense, Closed Variation, Korchnoi Defense",black,2099,B23,2022-09-21,2176,2201,42.4,29.1,28.5,1.e4 c5 2.Nc3 e6 3.g3 d5
"Sicilian Defense, Closed Variation, Traditional",black,13365,B25,2022-10-20,2147,2180,33.0,23.5,43.6,1.e4 c5 2.Nc3 Nc6
"Sicilian Defense, Delayed Alapin Variation",white,12674,B40,2022-10-16,2258,2230,34.4,31.6,34.0,1.e4 c5 2.Nf3 e6 3.c3
"Sicilian Defense, Delayed Alapin",white,13722,B50,2022-10-16,2214,2195,40.0,26.3,33.7,1.e4 c5 2.Nf3 d6 3.c3
"Sicilian Defense, Delayed Alapin, Basman-Palatnik Double Gambit",white,380,B50,2022-05-15,2261,2177,54.7,21.8,23.4,1.e4 c5 2.Nf3 d6 3.c3 Nf6 4.Be2 Nc6 5.d4 cxd4 6.cxd4 Nxe4 7.d5 Qa5+ 8.Nc3 Nxc3 9.bxc3
"Sicilian Defense, Dragon Variation, Classical Variation",white,420,B72,2022-09-23,2257,2214,38.8,27.1,34.0,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.Nb3
"Sicilian Defense, Dragon Variation, Classical Variation",black,1105,B73,2022-09-03,2107,2137,39.8,24.6,35.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6
"Sicilian Defense, Dragon Variation, Classical Variation",white,1508,B72,2022-09-24,2011,2010,36.7,23.9,39.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3
"Sicilian Defense, Dragon Variation, Classical Variation",white,1214,B73,2022-08-24,2087,2077,28.1,29.2,42.8,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O
"Sicilian Defense, Dragon Variation, Classical Variation, Alekhine Line",black,203,B74,2022-07-04,2277,2269,39.4,30.5,30.1,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Nb3 a5
"Sicilian Defense, Dragon Variation, Classical Variation, Battery Variation",white,1182,B73,2022-09-29,2171,2156,27.5,36.1,36.4,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Qd2
"Sicilian Defense, Dragon Variation, Classical Variation, General",white,2995,B72,2022-10-17,2249,2246,40.5,28.9,30.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2
"Sicilian Defense, Dragon Variation, Classical Variation, Maroczy Line",black,373,B74,2022-07-02,2257,2271,32.4,33.8,33.8,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Nb3 Be6 10.f4 Na5
"Sicilian Defense, Dragon Variation, Classical Variation, Normal Line",white,1306,B74,2022-07-08,2144,2152,33.9,27.9,38.2,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Nb3
"Sicilian Defense, Dragon Variation, Classical Variation, Tartakower Line",black,586,B74,2022-07-08,2284,2294,35.5,29.2,35.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2 Bg7 7.Be3 Nc6 8.O-O O-O 9.Nb3 Be6 10.f4 Qc8
"Sicilian Defense, Dragon Variation, Fianchetto Variation",white,1730,B70,2022-07-09,2282,2263,44.5,27.1,28.4,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.g3
"Sicilian Defense, Dragon Variation, General",black,5107,B70,2022-07-29,2070,2071,41.3,21.8,37.0,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6
"Sicilian Defense, Dragon Variation, Levenfish Variation",white,1178,B71,2022-07-24,2118,2100,45.8,21.1,33.0,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4
"Sicilian Defense, Dragon Variation, Levenfish Variation, Main Line",black,186,B71,2022-03-25,2213,2211,41.4,23.7,35.0,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4 Nbd7
"Sicilian Defense, Dragon Variation, Modern  Bc4 Variation",black,1284,B35,2022-07-24,2107,2126,35.7,23.1,41.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 g6 5.Nc3 Bg7 6.Be3 Nf6 7.Bc4 Nc6
"Sicilian Defense, Dragon Variation, Yugoslav Attack",white,3397,B78,2022-06-19,2201,2178,44.1,21.9,34.0,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Bd7 10.O-O-O
"Sicilian Defense, Dragon Variation, Yugoslav Attack",black,3429,B77,2022-07-02,2167,2195,30.2,23.0,46.8,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Bd7
"Sicilian Defense, Dragon Variation, Yugoslav Attack",black,290,B77,2022-07-01,1947,1911,51.7,18.6,29.7,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6
"Sicilian Defense, Dragon Variation, Yugoslav Attack",black,683,B76,2022-07-24,1963,2022,25.5,19.2,55.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Belezky Line",black,1506,B76,2022-07-24,2081,2120,31.7,20.7,47.5,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 Nc6
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Czerniak Variation",black,312,B77,2022-07-24,2136,2183,21.5,35.3,43.3,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Nxd4 10.Bxd4 Be6
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Early deviations",white,1157,B75,2022-06-29,2210,2168,45.8,20.8,33.4,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Main Line",white,852,B77,2022-07-15,2161,2103,52.7,22.2,25.1,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Modern Line",white,8691,B76,2022-07-25,2214,2182,46.5,24.9,28.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.O-O-O
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Old Line",black,3506,B78,2022-07-04,2101,2119,33.2,21.4,45.4,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Bd7 10.O-O-O Rc8
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Panov Variation",white,2272,B76,2022-07-28,2237,2203,48.1,25.3,26.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.g4
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Sosonko Variation",black,594,B77,2022-03-15,2119,2164,32.7,21.2,46.1,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3 O-O 8.Qd2 Nc6 9.Bc4 Nd7
"Sicilian Defense, Drazic Variation",black,167,B40,2022-07-10,2079,2095,36.5,22.8,40.7,1.e4 c5 2.Nf3 e6 3.d4 a6
"Sicilian Defense, Flohr Variation",black,831,B32,2022-04-17,2293,2309,39.5,28.5,32.0,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qc7
"Sicilian Defense, Four Knights Variation",black,8671,B45,2022-07-24,2126,2148,31.5,30.2,38.3,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6
"Sicilian Defense, Four Knights Variation, Cobra Variation",black,972,B45,2022-07-21,2300,2318,38.9,26.9,34.2,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Ndb5 Bc5
"Sicilian Defense, Four Knights Variation, Exchange Variation",white,3205,B45,2022-07-26,2306,2267,43.1,28.1,28.9,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Nxc6
"Sicilian Defense, Franco-Scilian Variation",black,189,B32,2022-02-20,1549,1533,22.8,3.2,74.1,1.e4 c5 2.Nf3 Nc6 3.d4 e6
"Sicilian Defense, French Variation",black,20176,B40,2022-07-30,2221,2246,36.1,26.9,37.0,1.e4 c5 2.Nf3 e6
"Sicilian Defense, French Variation, Normal",black,3881,B40,2022-07-28,2097,2124,40.3,24.4,35.4,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6
"Sicilian Defense, French Variation, Open",black,806,B40,2022-05-14,2068,2112,38.2,19.0,42.8,1.e4 c5 2.Nf3 e6 3.d4 cxd4
"Sicilian Defense, French Variation, Westerinen Attack",white,5827,B40,2022-07-27,2302,2274,37.8,29.7,32.5,1.e4 c5 2.Nf3 e6 3.b3
"Sicilian Defense, Gaw-Paw Variation",black,272,B40,2022-07-19,2135,2168,36.8,25.7,37.5,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Qb6
"Sicilian Defense, General",black,7808,B20-99,2022-07-29,2172,2175,41.3,23.0,35.7,1.e4 c5
"Sicilian Defense, Godiva Variation",black,5491,B32,2022-07-30,2275,2315,43.5,24.8,31.6,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6
"Sicilian Defense, Grand Prix Attack",white,12376,B23,2022-07-24,2090,2062,35.6,22.8,41.7,1.e4 c5 2.Nc3 Nc6 3.f4
"Sicilian Defense, Grand Prix Attack, Schofman Variation",white,1073,B23,2022-04-23,2163,2154,32.4,22.3,45.3,1.e4 c5 2.Nc3 Nc6 3.f4 g6 4.Nf3 Bg7 5.Bc4 e6 6.f5
"Sicilian Defense, Hyperaccelerated Dragon",black,6320,B27,2022-07-30,2128,2130,35.8,25.0,39.2,1.e4 c5 2.Nf3 g6
"Sicilian Defense, Hyperaccelerated Fianchetto",white,4879,A42,2022-07-25,2088,2075,40.5,23.2,36.3,1.e4 c5 2.Nf3 g6 3.d4
"Sicilian Defense, Hyperaccelerated Pterodactyl",black,2644,B27,2022-07-16,2152,2197,36.2,26.3,37.5,1.e4 c5 2.Nf3 g6 3.d4 Bg7
"Sicilian Defense, Kalashnikov Variation",black,9645,B32,2022-07-30,2205,2243,33.8,28.8,37.4,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 d6
"Sicilian Defense, Kan Variation",black,1453,B41,2010-05-25,2255,2268,43.5,26.1,30.4,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6
"Sicilian Defense, Kan Variation, Knight Variation",white,17760,B43,2022-07-24,2224,2192,36.1,25.0,38.8,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3
"Sicilian Defense, Kan Variation, Maroczy Bind, Bronstein Variation",black,626,B41,2022-07-12,2252,2283,38.3,30.4,31.3,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4 Nf6 6.Nc3 Bb4 7.Bd3 Nc6
"Sicilian Defense, Kan Variation, Maroczy Bind, Reti Variation",white,7373,B41,2022-07-27,2236,2188,37.9,26.3,35.8,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4
"Sicilian Defense, Kan Variation, Modern Variation",white,14378,B42,2022-07-25,2293,2252,40.5,28.2,31.3,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3
"Sicilian Defense, Kan Variation, Polugaevsky Variation",black,6299,B42,2022-07-25,2305,2353,34.8,29.7,35.6,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Bc5
"Sicilian Defense, Kan Variation, Swiss Cheese Variation",black,1201,B42,2022-07-24,2327,2388,34.0,31.1,34.8,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 g6
"Sicilian Defense, Kan Variation, Wing Attack",black,4450,B43,2022-07-25,2277,2303,45.4,26.1,28.5,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 b5
"Sicilian Defense, Kan Variation, Wing Attack, Fianchetto Variation",white,615,B43,2022-07-08,2297,2256,33.8,24.9,41.3,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 b5 6.g3
"Sicilian Defense, Kan Variation, Wing Attack, Spraggett Attack",white,705,B43,2022-05-18,2416,2383,38.3,27.4,34.3,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 b5 6.Bd3 Qb6 7.Nf3
"Sicilian Defense, Katalimov Variation",black,1038,B27,2022-07-19,2231,2291,38.1,21.1,40.8,1.e4 c5 2.Nf3 b6
"Sicilian Defense, Kramnik Variation",white,4111,B40,2022-07-24,2219,2180,34.9,30.1,35.0,1.e4 c5 2.Nf3 e6 3.c4
"Sicilian Defense, Kronberger Variation",white,656,B20,2022-07-09,2224,2215,39.8,23.8,36.4,1.e4 c5 2.Na3
"Sicilian Defense, Kupreichik Variation",black,1355,B56,2022-07-25,2329,2363,40.7,28.7,30.6,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bd7
"Sicilian Defense, Kveinis Variation",black,1366,B40,2022-07-19,2167,2211,34.2,27.9,37.9,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Qb6
"Sicilian Defense, Lasker-Dunne Attack",white,3234,B20,2022-07-24,2200,2187,35.9,26.2,37.9,1.e4 c5 2.g3
"Sicilian Defense, Lasker-Pelikan Variation, Bird Variation",black,1505,B33,2022-06-23,2183,2241,28.3,27.7,44.0,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 Be6
"Sicilian Defense, Lasker-Pelikan Variation, Exchange Variation",white,467,B33,2022-07-24,1872,1852,25.3,21.0,53.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nxc6
"Sicilian Defense, Lasker-Pelikan Variation, General",black,7186,B33,2022-07-21,2142,2163,34.1,25.1,40.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5
"Sicilian Defense, Lasker-Pelikan Variation, Retreat Variation",white,822,B33,2022-07-24,1731,1739,19.6,19.1,61.3,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nf3
"Sicilian Defense, Lasker-Pelikan Variation, Schlechter Variation",white,1114,B33,2022-07-24,1878,1873,25.9,19.5,54.7,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nb3
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation",black,317,B33,2022-07-16,2044,2099,25.2,19.2,55.5,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation",black,5631,B33,2022-07-17,2259,2290,30.6,29.6,39.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 f5
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",white,14491,B33,2022-07-26,2255,2224,37.0,33.5,29.6,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Nd5
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",black,3955,B33,2022-07-16,2224,2251,30.8,29.5,39.8,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 Bg7
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation, Peresypkin's Sacrifice",white,405,B33,2022-06-20,2278,2248,40.7,22.7,36.5,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 f5 11.Bxb5
"Sicilian Defense, L̦wenthal Variation",black,4641,B32,2022-07-24,2050,2081,31.2,27.5,41.2,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5
"Sicilian Defense, Marshall Counterattack",black,282,B40,2022-07-16,1951,1965,26.2,24.5,49.3,1.e4 c5 2.Nf3 e6 3.d4 d5
"Sicilian Defense, Marshall Gambit",black,261,B23,2022-07-24,1605,1573,22.2,13.4,64.4,1.e4 c5 2.Nc3 e6 3.d4 d5
"Sicilian Defense, McDonnell Attack",white,6044,B21,2022-07-24,2084,2071,35.4,21.9,42.7,1.e4 c5 2.f4
